bed,row,col,Unique.ID,SVC,Li600,,,,survey.notes
G,37,B,2527,526,200,,,,
G,38,A,1697,527,201,,,,
G,39,B,2094,528,202,,,,
G,40,A,2171,529,203,,,,
G,40,B,2270,530,204,,,,
G,41,A,2229,531,205,,,,
G,5,C,2083,532,206,,,,
G,6,C,2537,534,207,,,,
G,7,D,2024,535,208,,,,
G,9,C,2008,537,209,,,,
G,10,C,2197,538,210,,,,
G,11,C,2495,539,211,,,,
G,11,D,2089,540,212,,,,
G,13,C,2645,541,213,,,,
G,13,D,1729,542,214,,,,
G,14,C,2142,543,215,,,,
G,16,C,1979,544,216,,,,
G,16,D,1863,547,218,,,,
G,18,C,2300,,219,,,,
G,19,C,2464,,220,,,,
G,20,D,2295,,221,,,,
G,21,C,2233,,222,,,,
G,21,D,2336,,223,,,,
G,22,C,2439,,224,,,,
G,24,C,2093,,225,,,,
G,24,D,2327,,226,,,,
G,25,C,1891,,227,,,,
G,26,D,2313,,228,,,,
G,29,C,2074,,229,,,,
G,30,C,2635,,230,,,,
G,31,D,1765,,231,,,,
G,32,C,1815,,232,,,,
G,32,D,1872,,233,,,,
G,33,C,2421,,234,,,,
G,35,D,2301,,235,,,,
G,38,C,1930,,236,,,,
G,38,D,1447,,237,,,,
G,40,C,2293,,238,,,,
G,40,D,1624,,239,,,,
G,41,C,2378,,240,,,,
G,41,D,2512,,241,,,,
G,42,C,2358,,242,,,,
