bed,row,col,Unique.ID,Li600,Genotype,Type
C ,34,D ,2201,219,(WL2 x BH) x (WL2 x CC),F2
C ,35,C ,2218,218,(WL2 x BH) x (WL2 x TM2),F2
C ,37,C ,2260,217,(WL2 x TM2) x (TM2),F2
C ,38,C ,1982,NA,LV1 x WL2,F1
C ,38,D ,539,NA,TM2,Parent
C ,39,C ,2220,216,(WL2 x BH) x (WL2 x TM2),F2
C ,39,D ,1821,214,WL1,Parent
C ,40,C ,1992,213,TM2 x WL2,F1
C ,40,D ,2204,212,(WL2 x BH) x (WL2 x CC),F2
C ,41,C ,2607,NA,(WV x TM2) x (TM2 x WL2),F2
C ,41,D ,2554,211,(WL2 x WV) x (CC x WL2),F2
C ,42,D ,2043,210,WL2 x WV,F1
C ,43,C ,1156,NA,(WL1 x WL2) x (WL2 x TM2),F2
C ,43,D ,1048,NA,(TM2 x BH) x (TM2 x WL2),F2
C ,44,C ,1252,NA,LV1 x WL2,F1
C ,44,D ,1085,NA,(TM2 x WL2) x (TM2 x WL2),F2
C ,45,D ,394,NA,BH,Parent
C ,46,D ,1766,209,TM2,Parent
C ,47,C ,2255,208,(WL2 x TM2) x (TM2),F2
C ,48,C ,89,NA,(SQ3 x WL2) x (WL2),F2
C ,48,D ,1919,NA,WL2,Parent
C ,49,C ,2643,NA,(WL2 x TM2) x (TM2),F2
C ,49,D ,2480,NA,DPR x WL2,F1
C ,50,C ,1794,207,TM2,Parent
C ,50,D ,2097,NA,(SQ3 x WL2) x (WL2),F2
C ,51,C ,2397,NA,SQ3,Parent
C ,51,D ,1831,206,WL2,Parent
C ,52,C ,2516,205,(WL2 x BH) x (WL2 x CC),F2
C ,53,C ,2311,204,(WL2) x (WL2 x BH),F2
C ,53,D ,2640,203,TM2,Parent
C ,55,D ,2519,202,(WL2 x BH) x (WL2 x CC),F2
C ,56,D ,2559,201,(WV x TM2) x (WL2 x TM2),F2
C ,57,D ,1835,200,WL2,Parent
C ,58,C ,2031,199,WL2 x TM2,F1
C ,58,D ,2457,198,(WL2) x (WL2 x BH),F2
D ,4,A ,1993,1,TM2 x WL2,F1
D ,5,A ,2483,NA,LV1 x WL2,F1
D ,9,A ,2155,2,(TM2 x WL2) x (TM2),F2
D ,9,B ,2320,3,(WL2) x (WL2 x TM2),F2
D ,10,A ,2278,NA,(WL2 x TM2) x (TM2),F2
D ,11,B ,1822,4,WL1,Parent
D ,12,B ,304,NA,WL1,Parent
D ,13,B ,2209,5,(WL2 x BH) x (WL2 x CC),F2
D ,14,A ,2417,6,SQ3 x WL2,F1
D ,14,B ,2205,8,(WL2 x BH) x (WL2 x CC),F2
D ,15,B ,1107,NA,(WL2 x DPR) x (WL2),F2
D ,16,A ,1995,9,TM2 x WL2,F1
D ,16,B ,1961,NA,YO11,Parent
D ,17,A ,2240,11,(WL2 x TM2) x (TM2),F2
D ,18,A ,2521,12,(WL2 x BH) x (WL2 x CC),F2
D ,18,B ,2610,NA,(WV x TM2) x (TM2 x WL2),F2
D ,20,A ,2532,13,(WL2 x BH) x (WL2 x CC),F2
D ,22,A ,2206,14,(WL2 x BH) x (WL2 x CC),F2
D ,22,B ,2593,15,(DPR x TM2) x (TM2 x WL2),F2
D ,23,A ,1894,NA,WL2,Parent
D ,23,B ,2413,16,BH x WL2,F1
D ,24,A ,2597,17,(TM2 x WL2) x (TM2),F2
